Yu-Gi-Oh!,22,7.2
InuYasha,25,7.9
Any Given Sunday,162,6.9
Menace II Society,97,7.5
Desperado,104,7.1
The Mask of Zorro,136,6.8
The Patriot,165,7.2
Road Trip,93,6.5
Free Willy,112,6
3 Ninjas Kick Back,93,4.5
In the Line of Fire,128,7.2
The Replacements,118,6.6
Johnny Mnemonic,97,5.6
Little Women,115,7.3
Anaconda,89,4.8
My Girl,103,6.9
Cliffhanger,112,6.5
I Know What You Did Last Summer,101,5.7
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,88,6
Barney & Friends,28,3.8
Hollow Man,112,5.8
Godzilla,133,5.4
Neon Genesis Evangelion: The End of Evangelion,87,8
Spawn,96,5.2
Dennis the Menace,95,5.6
The Net,114,5.9
The Devil's Own,107,6.2
Croupier,94,7
Teenage Mutant Ninja Turtles III,96,4.7
The General's Daughter,116,6.4
The Next Karate Kid,107,4.5
I Still Know What You Did Last Summer,100,4.7
Double Team,93,4.7
Under Suspicion,110,6.5
Moesha,21,5.7
"Sister, Sister",22,6.2
Cardcaptor Sakura,25,8
Geronimo: An American Legend,115,6.5
The Mirror Has Two Faces,126,6.6
Girlfriends,21,7.2
Knight Rider 2000,91,4.5
The Last Days,87,7.9
The Parkers,19,6.8
Heavy,105,6.8
Bill Hicks: Revelations,74,8.5
Sankofa,124,7
Dale's Supermarket Sweep,21,7.1
Jerry Seinfeld: I'm Telling You for the Last Time,75,7.9
Children of God,63,6.4
Wild Tango,124,6.7
Kuch Kuch Hota Hai,185,7.6
Oggy and the Cockroaches,9,7.4
H,25,7.4
Herod's Law,120,7.8
Tim Allen: Rewires America,30,5.9
Heartbreak High,47,7.8
Dil Se..,163,7.5
Aashik Aawara,153,4.7
Destiny,136,7.1
Oh Darling! Yeh Hai India!,153,4
A Triumph of the Heart: The Ricky Bell Story,100,7.2
Bombay,141,8.1
West Beirut,105,7.6
Muthu,165,7.6
Qila,160,4.8
Ram Jaane,172,5.4
Chamatkar,171,6.5
Soldier,156,6.2
Okupas,40,9
Hum Saath Saath Hain,177,6.2
Kabhi Haan Kabhi Naa,158,7.6
Nightmare in Columbia County,100,5.5
Phir Bhi Dil Hai Hindustani,160,6.1
Jeans,175,6.4
Chaahat,155,5.5
Hum Aapke Hain Koun..!,206,7.5
Maya Memsaab,126,5.4
Out of Life,97,6.9
Duplicate,165,5.5
Govindha Govindha,145,6.6
Damini,180,7.8
English Babu Desi Mem,172,4.5
Before the Flying Circus,55,7.3
Sam Kinison: Live in Vegas,72,6.6
Anjaam,146,6.6
Mann,174,6.1
Monty Python: Live at Aspen,58,7.8
Sinbad: Afros and Bellbottoms,59,7.8
The Other,106,5.9
Sinbad: Son of a Preacher Man,56,6.7
Children of Shatila,50,8.2
Gumrah,149,6.1
The Emigrant,129,6.5
Yodha,142,4.5
Avvai Shanmugi,160,7.9
Minsara Kanavu,145,6.7
Chronicle of a Disappearance,88,6.9
Yaar Gaddar,147,3.6
Sinbad: Nothin' but the Funk,55,6.2
Dushmani,156,5
Fiza,170,6
Hello Brother,131,4.6
Shikari,162,5.9
Breaking Bad,48,9.5
The Walking Dead,46,8.2
The Staircase,49,7.8
Downton Abbey,58,8.7
Grey's Anatomy,49,7.6
The Great British Baking Show,57,8.6
Criminal Minds,44,8.1
NCIS,44,7.8
Community,23,8.5
Heartland,44,8.4
Supernatural,45,8.5
Forgetting Sarah Marshall,111,7.1
War of the Worlds,117,6.5
Arrested Development,28,8.7
The IT Crowd,25,8.5
30 Rock,25,8.3
Avatar: The Last Airbender,24,9.3
Inception,148,8.8
The Other Guys,107,6.6
How to Train Your Dragon,98,8.1
Friday Night Lights,43,8.7
Casino Royale,139,8
Michael Clayton,120,7.2
My Little Pony: Friendship Is Magic,22,7.6
The Fairly OddParents,24,7.2
Jackass: The Movie,88,6.6
Sonic X,21,6.1
DEATH NOTE,24,9
Zoolander,90,6.5
The Vampire Diaries,42,7.7
Charlie and the Chocolate Factory,106,6.6
Cleaner,88,6.1
Harold & Kumar Go to White Castle,88,7
The Social Network,121,7.8
Road to Perdition,117,7.7
Naruto,23,8.4
Blow,124,7.5
Shooter,124,7.2
Big Fish,125,8
The Bourne Ultimatum,115,8
Public Enemies,143,7
America's Next Top Model,44,5.6
Sherlock Holmes,129,7.6
Love Actually,139,7.6
Closer,94,7.2
Chappelle's Show,21,8.8
Something's Gotta Give,128,6.7
Grown Ups,102,5.9
The Blind Side,129,7.6
Quantum of Solace,106,6.6
The Ring,111,7.1
Trailer Park Boys,25,8.6
Into the Wild,140,8.1
True Grit,110,7.6
Rambo,92,7
Stardust,122,7.6
Borgen,58,8.5
The Last Samurai,154,7.8
iCarly,26,6.7
Victorious,25,6.9
The Book of Eli,118,6.8
Identity,90,7.3
Merlin,44,7.9
Shrek Forever After,93,6.3
Hairspray,117,6.7
Corpse Bride,77,7.3
Let Me In,116,7.1
Monster,110,7.3
Without a Paddle,95,5.8
Once Upon a Time in Mexico,102,6.3
Cloudy with a Chance of Meatballs,90,6.9
Offspring,44,8.3
Blade II,117,6.7
Chloe,99,6.3
Blood Diamond,143,8
The Lake House,105,6.8
Terminator 3: Rise of the Machines,109,6.3
Beerfest,110,6.2
Heist,107,6.5
Catch and Release,111,5.9
Just Like Heaven,95,6.7
Gurren Lagann,24,8.3
Four Brothers,109,6.8
John Q,116,7
Not Another Teen Movie,89,5.7
21,123,6.8
Code Geass: Lelouch of the Rebellion,24,8.7
Terminator Salvation,110,6.5
Deck the Halls,93,5
The Girl Next Door,91,6.5
The Cat in the Hat,81,4
Final Destination 3,93,5.8
Thir13en Ghosts,91,5.6
The One,87,5.9
Happy Feet,108,6.4
Ip Man,108,8
Coach Carter,130,7.3
Blade: Trinity,106,5.8
Monster-in-Law,101,5.5
Halloween,109,6
How Do You Know,121,5.4
The Sweetest Thing,84,5.1
The Final Destination,82,5.1
The Other Boleyn Girl,115,6.7
Friday the 13th,97,5.5
The Bucket List,97,7.4
Freddy vs. Jason,97,5.7
Transformers: Prime,22,7.9
Memoirs of a Geisha,145,7.3
A Nightmare on Elm Street,95,5.2
Body of Lies,128,7.1
A Cinderella Story,95,5.9
The Mole,52,7.6
Osmosis Jones,95,6.3
Scary Movie 4,83,5.1
The Texas Chainsaw Massacre,98,6.2
Fun with Dick and Jane,90,6.1
TMNT,87,6.2
Due Date,95,6.5
Cop Out,107,5.5
The 4400,44,7.3
Still Game,29,8.9
3 Idiots,170,8.4
Midnight Diner,27,8.6
H2O: Just Add Water,25,7.2
Black Butler,25,8.3
Octonauts,15,7.6
New York Minute,87,4.8
Strawberry Shortcake,23,7
Total Drama Island,23,7.4
Dreamer: Inspired By a True Story,106,6.8
Monster House,91,6.6
Starsky & Hutch,101,6.1
Tears of the Sun,121,6.6
Boys Over Flowers,64,7.9
Winx Club,23,6.2
The Cave,97,5.1
Big Time Rush,25,6.3
The Texas Chainsaw Massacre: The Beginning,91,5.8
I Am Sam,132,7.6
The Spiderwick Chronicles,96,6.5
Rumor Has It...,97,5.5
Dead Set,141,7.6
Toradora!,30,8
I Now Pronounce You Chuck & Larry,115,5.9
World Trade Center,129,6
Premonition,96,5.9
Shaun the Sheep,7,8
Eagle Eye,118,6.6
Lagaan: Once Upon a Time in India,224,8.1
The Men Who Stare at Goats,94,6.2
Scare Tactics,22,6.7
Friends with Money,88,5.8
Legend of the Guardians: The Owls of Ga'Hoole,100,6.9
Kath & Kim,24,8.3
Good Luck Chuck,101,5.6
Pocoyo,11,3.9
Louis C.K.: Hilarious,84,8.4
Death at a Funeral,92,5.6
Gifted Hands: The Ben Carson Story,86,7.6
The Game,22,6.6
Angel Beats!,26,7.7
Blood and Bone,93,6.7
Ip Man 2,108,7.5
Masha and the Bear,6,7.6
Like Stars on Earth,165,8.3
Monty Python: Almost the Truth (The Lawyer's Cut),55,8.1
The Legend of Bruce Lee,45,7
Ouran High School Host Club,23,8.2
Felon,103,7.4
The Ultimatum,44,5.4
Mobile Suit Gundam Unicorn,35,7.8
Stuart Little 2,78,5.5
Johnny Test,18,5.1
Code Lyoko,24,7.3
Did You Hear About the Morgans?,103,4.9
Iris,61,7.8
DreamWorks Shrek's Swamp Stories,24,6.5
Ben & Holly's Little Kingdom,14,7.5
The Garfield Show,17,5.3
Chaos,106,6.4
Wakfu,22,8.1
Katt Williams: The Pimp Chronicles Pt. 1,46,7.6
Initial D,107,6.3
Comedian,82,6.9
Delta Farce,90,3.6
One Piece: Strong World,114,7.5
Christmas with the Kranks,99,5.4
Dinosaur King,21,5.6
Love Happens,109,5.6
Vampire Knight,25,7.3
Den-noh Coil,25,7.9
Zig and Sharko,9,6.8
Even the Rain,104,7.4
Kabhi Khushi Kabhie Gham,210,7.4
Naruto Shippuden the Movie,94,6.7
Trailer Park Boys: The Movie,95,7.1
Jeff Dunham: Arguing with Myself,76,8
From Within,89,5.6
Jodhaa Akbar,213,7.5
And Then Came Lola,71,3.9
One on One,20,7
Om Shanti Om,162,6.7
Jab We Met,138,7.9
The Cartel,44,8.1
Te quiero,85,4.8
Bon Cop Bad Cop,116,6.5
Naruto: Ninja Clash in the Land of Snow,82,6.6
The Mafia Dolls,43,6.6
Horrid Henry,12,6.3
I Will Follow,76,5.9
Alpha and Omega,88,5.1
One Piece: The Desert Princess and the Pirates: Adventure in Alabasta,90,6.9
Bo on the Go!,22,4.1
Waist Deep,97,5.8
Naruto: Guardians of the Crescent Moon Kingdom,95,6.4
First Sunday,96,4.5
Einsatzgruppen: The Nazi Death Squads,44,7.6
This Is the Life,97,6.3
My Suicide,107,7
Kyaa Kool Hai Hum,172,6.1
Kung Fu Panda Awesome Secrets,0,7.2
Divine Intervention,92,6.6
Accident,89,6.6
Naruto: Legend of the Stone of Gelel,96,6.4
Jim Gaffigan: Beyond the Pale,72,7.9
Dreamworks Happy Holidays from Madagascar,0,6.5
Billu,137,6.3
Half & Half,21,7
Timmy Time,14,6.9
"Cairo 6,7,8",100,7.4
Dil Chahta Hai,183,8.1
Trailer Park Boys: Countdown to Liquor Day,101,7.3
Bleach the Movie: Hell Verse,94,7.4
Whisky,99,7.1
EMI,128,4.4
Vientos de agua,72,8.7
Naruto Shippuden the Movie: The Lost Tower,85,6.9
Naruto Shippuden the Movie: Bonds,90,6.8
Naruto Shippuden the Movie: The Will of Fire,95,7
Linewatch,90,5.4
The Boy Who Cried Werewolf,97,5.9
Dostana,145,6.5
Whitney Cummings: Money Shot,48,6.2
Don,178,7.1
Rock On!!,144,7.7
Eternal Summer,105,7
Mike Birbiglia: What I Should Have Said Was Nothing,60,7.6
"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom",95,7
Welcome,160,6.9
Just Another Love Story,100,7.2
Arahan,114,6.6
Phir Hera Pheri,155,7.1
Bleach the Movie: Fade to Black,94,7.2
Rang De Basanti,157,8.1
Oscar's Oasis,9,7.4
Swades,189,8.1
Kaal,127,4.7
Sorry to Disturb,116,8
2 Alone in Paris,94,5.4
Delhi-6,141,6.1
Kal Ho Naa Ho,186,7.9
Sivaji: The Boss,189,7.5
Ishqiya,115,7.3
Trotro,3,6.2
Guzaarish,126,7.4
A Lion in the House,225,8.7
Oye Lucky! Lucky Oye!,126,7.7
Love in a Puff,104,7.1
Kabhi Alvida Naa Kehna,193,6
Black Friday,143,8.4
Kevin James: Sweat the Small Stuff,42,7.4
Connected,110,6.6
Vivah,175,6.6
Golmaal Returns,135,5.1
Jim Gaffigan: King Baby,72,7.7
The Trailer Park Boys Xmas Special,57,8
Bluffmaster!,137,6.6
Inuyasha the Movie 4: Fire on the Mystic Island,88,7.2
My FÃ¼hrer,89,5.5
Vizontele,110,8
Tayo the Little Bus,11,5.2
Autumn's Concerto,58,7.9
Sir! No Sir!,85,7.6
DreamWorks Spooky Stories,26,6.2
Inuyasha the Movie: Affections Touching Across Time,99,7.2
Once Upon a Time in Mumbaai,132,7.4
Guru,166,7.7
Main Hoon Na,179,7
Romantik Komedi,110,5.3
Jeff Dunham's Very Special Christmas Special,85,7.4
Paheli,141,6.3
Honeymoon Travels Pvt. Ltd.,118,6.1
Behind Enemy Lines,49,7.2
Inuyasha the Movie 3: Swords of an Honorable Ruler,99,7.6
Fated to Love You,67,7.4
Kaminey,135,7.4
Nuevo Rico Nuevo Pobre,44,7.2
Kevin Hart: I'm a Grown Little Man,72,7.5
G.O.R.A.,127,8
Jaane Tu... Ya Jaane Na,155,7.4
Mukhsin,95,7.3
Pecados capitales,43,8.5
Apaharan,173,7.4
"LSD: Love, Sex aur Dhokha",108,7.2
Chhota Bheem,22,4.1
Pedro El Escamoso,0,7.5
Chup Chup Ke,165,6.9
Manorama Six Feet Under,137,7.6
Sergio,94,7.4
Luck by Chance,155,7.1
Karthik Calling Karthik,135,7.1
Monty Python's Personal Best,56,7.9
Ajab Prem Ki Ghazab Kahani,150,6.3
Dhan Dhana Dhan Goal,167,5
Salt of This Sea,109,6.8
Yuva,161,7.3
Fuga,110,6.3
Namastey London,131,7.1
Fashion,167,6.9
Peepli Live,104,7.4
Lakshya,186,7.8
Trailer Park Boys: Say Goodnight to the Bad Guys,60,7.8
Pomegranates and Myrrh,95,6.3
Tony Manero,97,6.8
Do Dooni Chaar,146,7.5
Kismat Konnection,153,5.3
Wake Up Sid,138,7.6
Life in a Metro,124,7.4
El cartel 2 - La guerra total,44,6.8
Awara Paagal Deewana,169,6.2
The Figurine (Araromire),122,4.4
The Unjust,119,6.6
Kurbaan,161,5.7
Canâ€™t Complain,113,7.5
Inuyasha the Movie 2: The Castle Beyond the Looking Glass,100,7.3
Taxi No. 9 2 11,116,7.2
Anbe Sivam,160,8.7
Gangaajal,157,7.8
Chalte Chalte,175,6.5
Mumbai Meri Jaan,119,7.7
Aamir,99,7.6
Frontiers of Dreams and Fears,56,8.3
Ishq Vishk,145,6.1
The Legend of Bhagat Singh,155,8.1
Under the Bombs,98,7
Race,161,6.9
Udaan,138,8.1
Laugh Out Loud,60,7
We Are Family,115,5.6
The Beast Stalker,109,6.8
Raajneeti,167,7.1
Edge of the Universe,49,7.2
Old Thieves: The Legend of Artegio,97,8
Kannathil Muthamittal,137,8.4
Well Done Abba,144,7.2
Palermo Hollywood,113,5.2
Dev.D,144,7.9
Twins Mission,103,5.2
What's Up?,95,2.9
Aagey Se Right,117,5.2
Mighty Raju,20,4.2
Krishna Cottage,124,5.1
The Fierce Wife,59,6.8
Madness in the Desert,141,8.4
I Hate Luv Storys,129,5.6
C Kkompany,130,5.5
Welcome to Sajjanpur,134,6.9
I Am Kalam,88,8
Kyo Kii... Main Jhuth Nahin Bolta,149,5.3
The Kite,80,6.4
Kucch To Hai,142,4.3
The Blue Umbrella,90,7.3
Break Ke Baad,120,5.2
Main Aurr Mrs Khanna,115,3.5
Frank & Cindy,73,7
Tum Milo Toh Sahi,127,5.6
Ezra,105,6.4
Chance Pe Dance,121,4.8
Gina Yashere: Skinny B*tch,57,6.5
Agyaat,98,2.9
Falafel,80,6.7
Kuselan,160,4.8
Look for a Star,117,5.6
Zozo,105,6.5
A Love Story,117,6.4
Bosta,112,6.4
Anchor Baby,95,6.3
Shootout at Lokhandwala,145,7.1
The Hospital,48,7.4
Da Kath & Kim Code,90,7.3
Interview with a Serial Killer,44,5.9
The Student Cop,110,6.3
Khawatir,20,9.6
Dhoondte Reh Jaaoge,135,5.6
Rabun,90,7.7
Life's Speed Bump,110,6.6
Black & White,37,7.6
Hattrick,110,4.3
Harishchandrachi Factory,96,8.4
Koi Aap Sa,142,5.5
Menahi,100,6.7
What's Your Raashee?,192,4.8
Talentime,120,7.4
Anthony Kaun Hai?,127,5.2
The Prince Who Turns into a Frog,44,6.8
Mission Istaanbul,125,3.4
Fida,122,5.4
Cocaine,44,7.1
Breakout,44,6.7
Kisaan,100,5.5
My Amnesia Girl,110,6.7
IjÃ©: The Journey,106,7
At Dolphin Bay,59,6.9
Perazhagan,148,6.4
My MVP Valentine,69,6.5
A Very Special Love,105,6.5
Pink Zone,15,6.1
Bheem vs Aliens,69,7.7
Unriddle,44,8
Tango with Me,104,6.3
Chhota Bheem Aur Krishna,69,6.4
Cocomong,13,5.6
Once a Gangster,95,5.7
Brother's Shadow,91,6.1
"Do Paise Ki Dhoop, Chaar Aane Ki Baarish",121,6.5
Banyuki,182,7.4
Call the Midwife,56,8.5
Hop,95,5.4
"Crazy, Stupid, Love.",118,7.4
New Girl,21,7.7
Black Mirror,59,8.8
Margin Call,107,7.1
Django Unchained,165,8.4
Longmire,53,8.3
Looper,119,7.4
Shameless,54,8.6
Happy Endings,21,7.8
Argo,120,7.7
Last Tango in Halifax,59,8.3
Midnight in Paris,94,7.7
Ink Master,42,7.4
Top Boy,48,8.4
Warrior,140,8.2
Hunter x Hunter,23,9
Les MisÃ©rables,157,7.5
Arrow,42,7.5
The Girl with the Dragon Tattoo,158,7.8
Contagion,106,6.8
Battleship,131,5.8
Killing Them Softly,104,6.2
Just Go with It,117,6.4
Dark Shadows,113,6.2
Sherlock Holmes: A Game of Shadows,129,7.4
Silver Linings Playbook,122,7.7
The Legend of Korra,23,8.4
Sword Art Online,23,7.6
Sucker Punch,110,6
The Borgias,51,7.9
Ninjago: Masters of Spinjitzu,17,7.2
Total Recall,120,6.2
Puella Magi Madoka Magica,24,8.3
Project X,88,6.6
Berserk: The Golden Age Arc I - The Egg of the King,76,7.5
Soul Surfer,112,7
Transformers: Rescue Bots,22,6.4
Final Destination 5,92,5.9
Puss in Boots,79,6.6
Savages,131,6.4
Teen Mom 2,41,4.5
Hall Pass,105,5.9
Comedians in Cars Getting Coffee,20,8
Lilyhammer,45,7.9
Rurouni Kenshin Part I: Origins,134,7.4
Unknown,113,6.8
TIGER & BUNNY,26,7.3
Fate/Zero,25,8.2
The Rite,114,6
Blue Exorcist,24,7.5
Barbie: Life in the Dreamhouse,6,7.3
Mean Girls 2,96,4.1
A Very Harold & Kumar Christmas,108,6.2
anohana: The Flower We Saw That Day,23,8.2
Magi,24,7.8
Cuckoo,27,5.9
Thermae Romae,27,6.1
Red Riding Hood,100,5.4
My Babysitter's a Vampire,22,6.9
Kuroko's Basketball,24,8.3
New Year's Eve,113,5.6
The Smurfs,103,5.4
Jack and Jill,91,3.3
Everything Must Go,97,6.4
Rita,40,8.1
John Mulaney: New in Town,58,8.2
Wolverine,24,6.2
One Piece Film: Z,108,7.8
LEGO City,4,5
Arthur Christmas,97,7.1
MeatEater,22,7.5
Silenced,125,8
A Perfect Ending,110,5.7
Outback Truckers,44,7.4
LEGO Friends,16,7.6
Quartet,98,6.8
Berserk: The Golden Age Arc II - The Battle for Doldrey,80,7.7
La Reina del Sur,42,8
Pablo Escobar: The Drug Lord,44,8.4
Bill Burr: You People Are All The Same,68,8.2
Bully,92,7.4
The History of Future Folk,86,7.1
Cloudburst,93,7.2
Donald Glover: Weirdo,65,7.4
A Princess for Christmas,89,6.3
Middle of Nowhere,101,6.5
Zindagi Na Milegi Dobara,166,8.1
Escape from Planet Earth,89,5.8
Sebastian Maniscalco: What's Wrong with People?,75,8
Undefeated,113,7.7
Singham,143,6.8
Larva,2,7.1
The Ultimate Braai Master,45,8.2
Minecraft: Story Mode,62,5.5
Barfi!,151,8.1
EastSiders,22,6.8
Smile PreCure!,22,6.1
Mosquita y Mari,85,6.3
The Great Magician,128,5.9
Robocar Poli,14,5.8
Joan Rivers: Don't Start with Me,68,6.6
Delhi Belly,102,7.6
Naruto Shippuden the Movie: Blood Prison,108,7.1
Maria Bamford: The Special Special Special!,50,7
Little Baby Bum,5,6.4
Tiger & Bunny: The Beginning,88,6.7
Don't Go Breaking My Heart,115,6.5
Pyaar Ka Punchnama,149,7.7
Big Time Movie,65,6.1
The American Bible Challenge,43,6.4
A World Not Ours,93,7.8
Inside West Coast Customs,47,7.4
Don 2,139,7.1
A Second Chance,90,4.7
Jeff Dunham: Minding the Monsters,80,7
Jeff Dunham: Controlled Chaos,90,7.4
Chillar Party,140,7.5
The Dirty Picture,144,6.6
Kyaa Super Kool Hain Hum,137,5
Talaash,149,7.3
Masha's tales,5,6.4
El Reemplazante,45,8.5
Rowdy Rathore,143,5.9
Blitz Patrollie,101,5.4
OMG: Oh My God!,125,8.1
6 Bullets,115,6
Material,94,7.3
Toll Booth,96,6.4
An Elf's Story,24,5.2
Justin Time,15,6
Without Gorky,58,6.6
Bodyguard,134,4.6
Shaitan,126,7.3
Paan Singh Tomar,135,8.2
Kath & Kimderella,80,5.3
Game,135,5.2
Lavell Crawford: Can a Brother Get Some Love?,90,6.9
Grandmaster,130,6.9
Arjun: The Warrior Prince,96,6.7
A Beautiful Life,122,6.7
Mugamoodi,162,5.1
Players,165,4.2
Tere Naal Love Ho Gaya,126,5.8
FRED 3: Camp Fred,81,2
Kalakalappu,149,6.9
Meet the Adebanjos,25,7.6
Katt Williams: Kattpacalypse,60,5.5
No One Killed Jessica,136,7.2
Luv Shuv Tey Chicken Khurana,140,6.6
Ragini MMS,93,5.1
Tom Papa: Live in New York City,57,7.2
10 jours en or,95,6
26 Years,135,6.3
7 Khoon Maaf,148,6.2
Asmaa,96,8.1
"All's Well, Ends Well",118,5.1
The Oath,44,7.9
Vettai,150,6
Tita Rahiba,104,5.2
Ek Main Aur Ekk Tu,110,5.8
Last Flight to Abuja,81,4.5
Michael,97,5.3
Bbuddah Hoga Terra Baap,118,5.6
Shor in the City,107,7.2
Chhota Bheem & Krishna in Mayanagari,66,9
Department,141,3.2
Stray Bullet,80,6.3
The Mistress,125,6.3
Inborn Pair,43,7.1
Ferrari Ki Sawaari,140,6.4
Zokkomon,109,3.9
Office Girls,46,6.9
Chhota Bheem and the Broken Amulet,63,7.5
One More Try,100,5.9
Thaandavam,167,6.1
Aiyyaa,146,4.3
Blood Money,110,5.1
Heroine,140,5
Bwakaw,104,7.1
"Love, Now",45,7.6
Chota Bheem Aur Ganesh in the Amazing Odyssey,65,7.8
Sisterakas,110,5.2
Masameer,0,8.2
Chhota Bheem In Dholakpur to Kathmandu,70,7.8
The Rise of Kirmada,68,8
Husbands in Goa,150,3.8
Drunken to Love You,46,6.5
Question Mark,102,7
Takki,17,6.5
Muran,134,6.3
"Darling, Something's Wrong with Your Head",78,6.7
Phone Swap,111,6.4
Chhota Bheem Master of Shaolin,75,6.3
No Other Woman,104,5.9
Yours Fatefully,44,6.8
Moshe Kasher: Live in Oakland,60,6.7
My Friend Pinto,115,5.3
The Mirror Boy,84,4.9
The Glamorous Imperial Concubine,47,7
Here Comes the Rain,100,6.3
Outlander,60,8.4
Peaky Blinders,58,8.8
Attack on Titan,24,9
The Blacklist,43,8
Married at First Sight,64,6.1
Paddington,96,7.2
The Flash,42,7.6
Nightcrawler,118,7.8
Gotham,43,7.8
Are You The One?,41,6.5
Her,126,8
42,128,7.5
The Imitation Game,113,8
The Call,94,6.7
The 100,42,7.6
Big Eyes,106,7.2
How to Get Away with Murder,43,8.1
Oldboy,104,5.7
Rush,123,8.1
Reign,42,7.5
How to Train Your Dragon 2,102,7.8
Begin Again,104,7.4
The Conjuring,107,7.5
Insidious: Chapter 2,106,6.5
BoJack Horseman,26,8.8
House of Cards,52,8.7
Henry Danger,24,5.6
A Walk Among the Tombstones,113,6.5
Olympus Has Fallen,119,6.5
The Giver,97,6.4
Orange Is the New Black,59,8.1
The Originals,43,8.3
Jane the Virgin,42,7.8
Creep,77,6.3
St. Vincent,102,7.2
Marco Polo,55,8
Wentworth,46,8.6
Madam Secretary,43,7.6
The Green Inferno,100,5.3
Dark Skies,97,6.3
KILL la KILL,25,7.9
The Frozen Ground,105,6.4
Z Nation,43,6.6
From Dusk Till Dawn: The Series,45,6.9
Empire State,94,5.2
Derek,26,8.1
Shrek the Musical,130,6.9
The Butler,132,7.2
The Thundermans,24,5.6
Hemlock Grove,49,7
Scary Movie 5,86,3.5
The Seven Deadly Sins,24,7.9
Sofia the First,24,6.8
Sailor Moon Crystal,24,7.8
